# Decoder paths each file actually reaches.
#
# Regenerate with ./make_coverage.sh, which applies src/probes.py to a
# throwaway worktree. Every probe sits on the line a README note
# refers to, so this is the evidence behind those notes: a file can
# reject for the wrong reason, and several did before being fixed.
#
# libwebp revision: 0be8ddd1

alph-after-image                         coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-compression-invalid                 coeff_cat4 coeff_v3_4 coeff_v5_6 error:Alpha-decoder-initialization-failed. mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-empty-payload                       coeff_cat4 coeff_v3_4 coeff_v5_6 error:Alpha-decoder-initialization-failed. mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-lossless-byte-flipped               build_single_value codelen_17 codelen_18 codelen_18_max_run coeff_cat4 coeff_v3_4 coeff_v5_6 complex_code error:Could-not-decode-alpha-data. literal_four_channels literal_trivial_code lz77_copy mb_i16 parts_1 simple_1sym simple_2sym simple_sym_1bit subimage_stream tf_bits_max tf_predictor uvmode_0 wht_dc_only ymode_0 
alph-lossless-palette                    alpha_8b_copy alpha_8b_data alpha_8b_no_blocks build_single_value codelen_18 codelen_18_max_run coeff_cat4 coeff_v3_4 coeff_v5_6 complex_code mb_i16 palette_2 parts_1 simple_1sym simple_2sym simple_sym_1bit subimage_stream tf_color_indexing uvmode_0 wht_dc_only ymode_0 
alph-lossless-predictor                  build_single_value codelen_17 codelen_18 codelen_18_max_run coeff_cat4 coeff_v3_4 coeff_v5_6 complex_code literal_four_channels literal_trivial_code lz77_copy mb_i16 parts_1 pred_first_row pred_mode_2 simple_1sym simple_2sym simple_sym_1bit subimage_stream tf_bits_max tf_predictor uvmode_0 wht_dc_only ymode_0 
alph-lossless-truncated                  build_single_value codelen_17 coeff_cat4 coeff_v3_4 coeff_v5_6 complex_code error:Alpha-decoder-initialization-failed. literal_trivial_code mb_i16 parts_1 simple_1sym simple_sym_1bit subimage_stream tf_bits_max tf_predictor uvmode_0 wht_dc_only ymode_0 
alph-no-vp8x                             info:bad-signature reject_signature_magic 
alph-plane-cache                         build_single_value coeff_cat4 complex_code literal_trivial_code mb_i16 palette_3 palette_black_tail parts_1 simple_1sym subimage_stream tf_color_indexing uvmode_0 wht_dc_only ymode_0 
alph-plane-filtered                      alpha_8b_data alpha_8b_no_blocks build_single_value coeff_cat4 mb_i16 palette_3 palette_black_tail parts_1 simple_1sym simple_2sym subimage_stream tf_color_indexing uvmode_0 wht_dc_only ymode_0 
alph-plane-literals                      build_single_value coeff_cat4 literal_trivial_code mb_i16 parts_1 simple_1sym uvmode_0 wht_dc_only ymode_0 
alph-plane-lz77-dist-2                   alpha_8b_copy alpha_8b_data alpha_8b_no_blocks build_single_value codelen_18 codelen_18_max_run coeff_cat4 complex_code copy8b_dist_2 dist_direct mb_i16 num_codes_min palette_3 palette_black_tail parts_1 simple_1sym subimage_stream tf_color_indexing uvmode_0 wht_dc_only ymode_0 
alph-plane-lz77-dist-4                   alpha_8b_copy alpha_8b_data alpha_8b_no_blocks build_single_value codelen_17 codelen_18 coeff_cat4 complex_code copy8b_dist_4 dist_direct mb_i16 num_codes_min palette_3 palette_black_tail parts_1 simple_1sym subimage_stream tf_color_indexing uvmode_0 wht_dc_only ymode_0 
alph-plane-lz77-past-start               alpha_8b_copy_oob alpha_8b_data alpha_8b_no_blocks build_single_value codelen_17 codelen_17_max_run codelen_18 codelen_18_max_run coeff_cat4 complex_code error:Could-not-decode-alpha-data. mb_i16 num_codes_min palette_3 palette_black_tail parts_1 simple_1sym subimage_stream tf_color_indexing uvmode_0 wht_dc_only ymode_0 
alph-plane-lz77-plain                    alpha_8b_copy alpha_8b_data alpha_8b_no_blocks build_single_value codelen_17 codelen_18 codelen_18_max_run coeff_cat4 complex_code copy8b_memcpy copy8b_no_pattern dist_direct mb_i16 num_codes_min palette_3 palette_black_tail parts_1 simple_1sym subimage_stream tf_color_indexing uvmode_0 wht_dc_only ymode_0 
alph-plane-lz77-unaligned                alpha_8b_copy alpha_8b_data alpha_8b_no_blocks build_single_value codelen_18 codelen_18_max_run coeff_cat4 complex_code copy8b_dist_1 copy8b_tail copy8b_unaligned dist_direct mb_i16 num_codes_min palette_3 palette_black_tail parts_1 simple_1sym subimage_stream tf_color_indexing uvmode_0 wht_dc_only ymode_0 
alph-plane-lz77                          alpha_8b_copy alpha_8b_data alpha_8b_no_blocks build_single_value codelen_18 codelen_18_max_run coeff_cat4 complex_code copy8b_dist_1 mb_i16 num_codes_min palette_3 palette_black_tail parts_1 simple_1sym subimage_stream tf_color_indexing uvmode_0 wht_dc_only ymode_0 
alph-plane-meta-huffman                  alpha_8b_blocks alpha_8b_data build_single_value coeff_cat4 complex_code mb_i16 meta_huffman meta_precision_min palette_3 palette_black_tail parts_1 simple_1sym simple_2sym subimage_stream tf_color_indexing uvmode_0 wht_dc_only ymode_0 
alph-plane-nontrivial-red                build_single_value coeff_cat4 complex_code mb_i16 palette_3 palette_black_tail parts_1 simple_1sym simple_2sym subimage_stream tf_color_indexing uvmode_0 wht_dc_only ymode_0 
alph-plane-oversubscribed                codelen_18 codelen_18_max_run coeff_cat4 complex_code error:Alpha-decoder-initialization-failed. mb_i16 num_codes_min parts_1 reject_count_over_capacity uvmode_0 wht_dc_only ymode_0 
alph-plane-palette                       alpha_8b_data alpha_8b_no_blocks build_single_value coeff_cat4 complex_code mb_i16 palette_3 palette_black_tail parts_1 simple_1sym subimage_stream tf_color_indexing uvmode_0 wht_dc_only ymode_0 
alph-plane-preprocessed                  alpha_8b_data alpha_8b_no_blocks build_single_value coeff_cat4 complex_code mb_i16 palette_3 palette_black_tail parts_1 simple_1sym subimage_stream tf_color_indexing uvmode_0 wht_dc_only ymode_0 
alph-plane-two-transforms                build_single_value coeff_cat4 complex_code literal_trivial_code mb_i16 palette_3 palette_black_tail parts_1 simple_1sym subimage_stream tf_color_indexing tf_subtract_green uvmode_0 wht_dc_only ymode_0 
alph-preprocessing-invalid               coeff_cat4 coeff_v3_4 coeff_v5_6 error:Alpha-decoder-initialization-failed. mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
