# Decoder paths each file actually reaches.
#
# Regenerate with ./make_coverage.sh, which applies probes.py to a
# throwaway worktree. Every probe sits on the line a README note
# refers to, so this is the evidence behind those notes: a file can
# reject for the wrong reason, and several did before being fixed.
#
# libwebp revision: 0be8ddd1

alph-after-image                         coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-compression-invalid                 coeff_cat4 coeff_v3_4 coeff_v5_6 error:Alpha-decoder-initialization-failed. mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-empty-payload                       coeff_cat4 coeff_v3_4 coeff_v5_6 error:Alpha-decoder-initialization-failed. mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-lossless-byte-flipped               build_single_value codelen_17 codelen_18 codelen_18_max_run coeff_cat4 coeff_v3_4 coeff_v5_6 complex_code error:Could-not-decode-alpha-data. lz77_copy mb_i16 parts_1 simple_1sym simple_2sym simple_sym_1bit tf_bits_max tf_predictor uvmode_0 wht_dc_only ymode_0 
alph-lossless-palette                    alpha_8b_data alpha_8b_no_blocks build_single_value codelen_18 codelen_18_max_run coeff_cat4 coeff_v3_4 coeff_v5_6 complex_code mb_i16 palette_2 parts_1 simple_1sym simple_2sym simple_sym_1bit tf_color_indexing uvmode_0 wht_dc_only ymode_0 
alph-lossless-predictor                  build_single_value codelen_17 codelen_18 codelen_18_max_run coeff_cat4 coeff_v3_4 coeff_v5_6 complex_code lz77_copy mb_i16 parts_1 pred_first_row pred_mode_2 simple_1sym simple_2sym simple_sym_1bit tf_bits_max tf_predictor uvmode_0 wht_dc_only ymode_0 
alph-lossless-truncated                  build_single_value codelen_17 coeff_cat4 coeff_v3_4 coeff_v5_6 complex_code error:Alpha-decoder-initialization-failed. mb_i16 parts_1 simple_1sym simple_sym_1bit tf_bits_max tf_predictor uvmode_0 wht_dc_only ymode_0 
alph-no-vp8x                             info:bad-signature 
alph-preprocessing-invalid               coeff_cat4 coeff_v3_4 coeff_v5_6 error:Alpha-decoder-initialization-failed. mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-raw-filter-gradient                 coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-raw-filter-horizontal               coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-raw-filter-none                     coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-raw-filter-vertical                 coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-raw-oversized                       coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-raw-preprocessing                   coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-raw-short                           coeff_cat4 coeff_v3_4 coeff_v5_6 error:Alpha-decoder-initialization-failed. mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-reserved-set                        coeff_cat4 coeff_v3_4 coeff_v5_6 error:Alpha-decoder-initialization-failed. mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-without-vp8x-flag                   coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
cache-bits-0-invalid                     reject_cache_bits 
cache-bits-1                             build_single_value cache_bits_min simple_1sym 
cache-bits-11                            build_single_value cache_bits_max simple_1sym 
cache-bits-12-invalid                    reject_cache_bits 
cache-index-literal                      build_single_value cache_bits_min cache_index codelen_18 codelen_18_max_run complex_code num_codes_min simple_1sym 
codelen-all-zero-lengths                 build_empty_code build_single_value codelen_18 complex_code num_codes_min simple_1sym 
codelen-depth-15                         build_depth_15 build_single_value build_two_level codelen_18 codelen_18_max_run complex_code num_codes_max simple_1sym 
codelen-incomplete                       build_single_value codelen_18 complex_code reject_incomplete simple_1sym 
codelen-max-symbol-early-stop            build_single_value complex_code max_symbol_early_stop num_codes_min simple_1sym use_length 
codelen-max-symbol-too-big               build_single_value complex_code num_codes_min reject_max_symbol_too_big simple_1sym use_length 
codelen-num-codes-19                     build_single_value codelen_18 complex_code num_codes_max simple_1sym 
codelen-num-codes-4                      build_single_value codelen_18 complex_code num_codes_min simple_1sym 
codelen-over-capacity                    build_single_value codelen_18 complex_code num_codes_min reject_count_over_capacity simple_1sym 
codelen-oversubscribed                   build_single_value codelen_18 complex_code reject_oversubscribed simple_1sym 
codelen-repeat-past-end                  build_single_value codelen_18 codelen_18_max_run complex_code num_codes_min reject_repeat_past_end simple_1sym 
codelen-repeat16-no-previous             build_single_value codelen_16 codelen_16_default_prev codelen_18 complex_code simple_1sym 
codelen-repeat17-short-zeros             build_single_value codelen_17 codelen_17_max_run complex_code num_codes_min simple_1sym 
codelen-repeat18-138-zeros               build_single_value codelen_18 codelen_18_max_run complex_code num_codes_min simple_1sym 
codelen-single-symbol-complex-form       build_single_value codelen_18 complex_code num_codes_min simple_1sym 
codelen-two-level-table                  build_single_value build_two_level codelen_18 codelen_18_max_run complex_code simple_1sym 
container-chunk-header-truncated         
container-duplicate-image-chunk          coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
container-metadata-chunks                coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
container-no-image-chunk                 
container-odd-chunk-no-pad               
container-odd-chunk-payload              coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
container-riff-size-past-end             
container-riff-size-short                
container-riff-size-truncates-chunks     
container-trailing-bytes                 coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
container-unknown-chunk                  coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
